area;location;price;rooms;square_price;source;title
34;Opština Palilula , Karaburma , Aleksandra Fleminga;94900;1.0;2791;halooglasi;Lux Uknjizen stan sa namestajem 34m2
94;Opština Palilula , Centar , Kneza Danila;324300;3.0;3450;halooglasi;Odličan, namešten stan sa garažom
74;Opština Voždovac , Banjica , Bulevar oslobođenja;149900;3.0;2026;halooglasi;SADRŽAJAN, Divan pogled i lokacija, Adaptibilan
21;Opština Vračar , Južni bulevar , Maksima Gorkog;70000;1.0;3333;halooglasi;Centar-Juzni Bulevar ID#1185
100;Opština Čukarica , Golf , Radovana Dragovića;289000;3.5;2890;halooglasi;100m2 Košutnjak - Radovana Dragovića ID#1331
72;Opština Vračar , Crveni krst , Grocanska;223200;4.0;3100;halooglasi;Vracar Grocanska 17 novogradnja
65;Opština Vračar , Maksima Gorkog , Riječka;208000;2.0;3200;halooglasi;Novogradnja Vračar Knjeginje Julije 5 (Rijecka)
61;Opština Palilula , Centar , Kneza Danila;290000;2.0;4754;halooglasi;Tašmajdan, lux, garažno mesto
29;Opština Palilula , Hala Pionir , Dragoslava Srejovića;101000;1.0;3483;halooglasi;Stan 29kvm
60;Opština Voždovac , Autokomanda , Vojvode Stepe;170000;3.0;2833;halooglasi;Autokomanda, novogradnja, uknjižen, ID 22209
68;Opština Novi Beograd , Blok 70 (kineski tržni centar) , Jurija Gagarina;215000;2.5;3162;halooglasi;Jurija Gagarina, Blok 70, Novi Beograd
176;Opština Novi Beograd , Blok 67a (A blok) , Uroša Martinovića;695000;4.0;3949;halooglasi;A blok, deluxe sređen stan, dve garaže, ID 21307
98;Opština Zemun , Kalvarija;313600;3.0;3200;halooglasi;Zemun, tek završena zgrada, ID 21978
67;Opština Zemun , Kalvarija , -;213000;3.0;3179;halooglasi;Zemun, lux, tek završena zgrada, ID 21981
70;Opština Novi Beograd , Blok 23 , Bulevar Milutina Milankovića;195900;3.0;2799;halooglasi;Blok 23 - Milutina Milankovića, trosoban, useljiv
